,Trace1,Trace2,Trace3,Trace4
0,0.027461179,-0.04808574,-0.05015874,0.07606642
1,0.023383467,-0.04818572,-0.04932564,0.075519286
2,0.03444353,-0.050141513,-0.05401447,0.07755665
3,0.036041047,-0.04339007,-0.05637293,0.07057475
4,0.031518918,-0.040171046,-0.056113187,0.06357061
5,0.034896784,-0.04204224,-0.05827001,0.061543226
6,0.024618765,-0.036588248,-0.052499115,0.055510186
7,0.012606108,-0.025968669,-0.039333835,0.053901784
8,0.008660529,-0.027824864,-0.034769297,0.055513255
9,0.0053771567,-0.02492117,-0.028769827,0.05499797
10,-0.0056291325,-0.019375654,-0.022685701,0.050809678
11,-0.008151583,-0.022703117,-0.024109473,0.050204992
12,-0.003400142,-0.02052006,-0.026651485,0.050055742
13,-0.015064412,-0.015320634,-0.021956114,0.046289887
14,-0.013600185,-0.013627869,-0.018366667,0.05140132
15,-0.013103914,-0.016121639,-0.018891154,0.054554816
16,-0.028390342,-0.0113082975,-0.010613648,0.054093625
17,-0.04311789,-0.01334869,-0.0055607944,0.055715457
18,-0.04535533,-0.018592337,-0.0054472773,0.061881635
19,-0.052488253,-0.015054529,-0.0021148797,0.066864915
20,-0.06252006,-0.016238157,-0.0001700831,0.07254804
21,-0.052774414,-0.021723298,-0.0020452302,0.08305214
22,-0.051429648,-0.024966545,0.0006510874,0.08561016
23,-0.05880072,-0.03240902,0.009046343,0.083194874
24,-0.051845636,-0.046331834,0.013158353,0.08142725
25,-0.048000697,-0.052933306,0.01837398,0.07728193
26,-0.05215139,-0.050172664,0.02494796,0.07462645
27,-0.046996247,-0.051791593,0.02033686,0.07546979
28,-0.0375433,-0.048513353,0.0143093,0.075713046
29,-0.042770654,-0.04010875,0.015586463,0.069775544
30,-0.046053257,-0.0397492,0.01735194,0.061324142
31,-0.03619008,-0.038297933,0.020282604,0.052361295
32,-0.039126985,-0.033683013,0.028660929,0.039209776
33,-0.034851458,-0.03029787,0.03130953,0.03233685
34,-0.021649979,-0.030225575,0.023518415,0.029285032
35,-0.020378575,-0.024690058,0.020766301,0.025897874
36,-0.02437985,-0.02256545,0.01845825,0.022084827
37,-0.016602388,-0.02626246,0.013809055,0.019329594
38,-0.011028567,-0.025157664,0.016604267,0.015793182
39,-0.012220077,-0.025268797,0.020996414,0.014137588
40,-0.0008753868,-0.03350497,0.015285931,0.01962388
41,0.006771476,-0.03817834,0.008583425,0.026142279
42,0.0028454873,-0.039815728,0.0032931475,0.032239396
43,0.009337715,-0.04816034,-0.008602665,0.040292144
44,0.01659509,-0.055227116,-0.016846308,0.04506747
45,0.014459822,-0.05474451,-0.014365481,0.04999397
46,0.018501813,-0.06040731,-0.016663142,0.058625314
47,0.025638962,-0.06981058,-0.019989382,0.06670454
48,0.020189209,-0.07252508,-0.015000791,0.07141924
49,0.012721725,-0.078752,-0.012556136,0.073588975
50,0.017243467,-0.0848951,-0.012574606,0.07369525
51,0.010748551,-0.08329462,-0.006551663,0.06755133
52,0.0074886093,-0.07794023,-0.0015319024,0.0656801
53,0.019097183,-0.0781698,-0.0057343403,0.06545718
54,0.021227458,-0.07438281,-0.0030630352,0.05778773
55,0.014795919,-0.068297006,0.005516157,0.046286818
56,0.019284628,-0.068943426,0.009536198,0.034147836
57,0.024995962,-0.06530218,0.017395038,0.018119073
58,0.020614417,-0.05577163,0.02809065,0.0026232444
59,0.026169801,-0.05083754,0.029001864,-0.0052507096
60,0.032772653,-0.04535855,0.02795443,-0.01338672
61,0.02440328,-0.035788395,0.03410436,-0.023861282
62,0.021220159,-0.033299625,0.037335165,-0.03297722
63,0.027484227,-0.032560915,0.038721997,-0.04422759
64,0.022917543,-0.023689473,0.046864055,-0.056647807
65,0.023443388,-0.014984158,0.05028188,-0.05940304
66,0.031669106,-0.01223851,0.04352319,-0.058401242
67,0.02724723,-0.0018711931,0.040131148,-0.059531957
68,0.014701428,0.0057743187,0.03791776,-0.059897225
69,0.0150067955,0.008793762,0.030424098,-0.05824201
70,0.00737837,0.01556905,0.030402932,-0.063140884
